target,model,accuracy,macro_precision,macro_recall,macro_f1
methodology,Rule-based baseline,0.493,0.339,0.48,0.358
methodology,Decision Tree,0.527,0.247,0.249,0.239
methodology,Logistic Regression,0.683,0.246,0.221,0.216
methodology,Naive Bayes,0.653,0.153,0.167,0.143
methodology_group,Rule-based baseline,0.517,0.452,0.535,0.452
methodology_group,Logistic Regression,0.693,0.531,0.379,0.392
methodology_group,Decision Tree,0.487,0.316,0.321,0.308
methodology_group,Naive Bayes,0.65,0.217,0.264,0.225
methodology,Hybrid v1 (all specific rules),0.57,0.353,0.456,0.354
methodology,Hybrid v2 (trusted rules),0.677,0.459,0.201,0.212
methodology_group,Hybrid v1 (all specific rules),0.597,0.5,0.509,0.454
methodology_group,Hybrid v2 (trusted rules),0.687,0.523,0.376,0.401
